,Data,PREC,RAD,TMAX,TMIN,URMED,U
0,2008-01-01,0.0,22780.17743,26.991666666666664,25.333333333333332,53.416666666666664,2.3375
1,2008-01-02,0.0,25049.64575,26.1125,24.554166666666664,64.4375,2.125
2,2008-01-03,0.0,22079.97361,26.354166666666668,24.96666666666667,64.29166666666667,2.220833333333333
3,2008-01-04,0.0,37781.826,26.7375,25.099999999999998,51.645833333333336,2.6500000000000004
4,2008-01-05,0.0,32782.265,26.7625,24.675,38.041666666666664,2.55
5,2008-01-06,0.0,27304.91854,26.891666666666666,24.920833333333334,46.604166666666664,2.0625
6,2008-01-07,0.0,13774.55724,25.808333333333334,24.791666666666668,63.229166666666664,3.0583333333333336
7,2008-01-08,0.0,17124.812,23.89166666666667,22.641666666666666,74.9375,2.6666666666666665
8,2008-01-09,0.0,19944.91575,23.462500000000002,22.275000000000002,78.02083333333333,2.079166666666667
9,2008-01-10,0.0,12166.79609,22.541666666666668,21.8,81.0,1.8
10,2008-01-11,0.0,17100.293,22.683333333333337,21.537500000000005,78.91666666666667,2.1916666666666664
11,2008-01-12,0.0,21915.94431,25.525000000000002,24.0625,68.22916666666667,2.029166666666667
12,2008-01-13,0.0,31536.199,26.666666666666668,24.804166666666664,58.166666666666664,2.6791666666666667
13,2008-01-14,0.0,34395.738,26.712500000000002,24.833333333333332,52.5625,3.9249999999999994
14,2008-01-15,0.0,30831.0115,25.795833333333334,24.07083333333333,51.875,3.045833333333333
15,2008-01-16,0.0,11934.871190000002,22.995833333333337,21.833333333333332,71.54166666666667,2.6374999999999997
16,2008-01-17,0.0,25329.57153,24.837499999999995,23.712499999999995,69.85416666666667,2.2083333333333335
17,2008-01-18,0.0,17717.57623,23.90833333333333,22.674999999999997,74.54166666666667,3.1333333333333333
18,2008-01-19,0.0,21961.10907,25.245833333333334,23.866666666666664,68.3125,2.670833333333333
19,2008-01-20,0.0,18340.83,23.858333333333334,22.066666666666663,76.89583333333333,2.7291666666666665
20,2008-01-21,0.0,18933.168,22.741666666666664,21.133333333333336,83.39583333333333,2.154166666666667
21,2008-01-22,0.0,29621.82462,23.22083333333333,21.8875,76.70833333333333,2.1291666666666664
22,2008-01-23,0.0,20726.97802,24.099999999999994,22.962500000000002,75.10416666666667,2.6750000000000003
23,2008-01-24,0.0,30769.916,25.833333333333332,24.291666666666668,67.04166666666667,3.225
24,2008-01-25,0.0,32162.051,26.054166666666664,24.429166666666664,61.25,3.2125
25,2008-01-26,0.0,30132.33362,25.520833333333332,23.925,59.270833333333336,2.9416666666666664
26,2008-01-27,0.0,6968.75182,22.366666666666664,21.279166666666665,81.0625,2.279166666666667
27,2008-01-28,0.0,10282.66848,23.004166666666663,21.879166666666666,83.25,2.433333333333333
28,2008-01-29,0.0,11318.03545,21.645833333333332,20.8625,86.39583333333333,1.9208333333333334
29,2008-01-30,0.0,23856.28202,23.683333333333337,22.5625,77.95833333333333,2.908333333333333
30,2008-01-31,0.0,24023.79204,22.94583333333333,22.041666666666668,80.72916666666667,2.5166666666666666
31,2008-02-01,0.0,19288.80329,23.191666666666663,22.204166666666666,80.60416666666667,2.9333333333333336
32,2008-02-02,0.0,10729.79108,21.316666666666666,20.825,89.04166666666667,2.7875
33,2008-02-03,0.0,29811.432,24.270833333333332,23.229166666666668,75.3125,2.404166666666667
34,2008-02-04,0.0,26286.73407,24.683333333333334,23.241666666666664,72.25,2.245833333333333
35,2008-02-05,0.0,21198.557,23.483333333333334,22.274999999999995,77.97916666666667,2.716666666666667
36,2008-02-06,0.0,26139.56677,24.916666666666668,23.48333333333333,72.60416666666667,2.704166666666667
37,2008-02-07,0.0,22624.861969999998,23.941666666666666,22.762500000000003,76.64583333333333,2.566666666666667
38,2008-02-08,0.0,26724.368939999997,25.599999999999998,23.933333333333334,67.22916666666667,2.066666666666667
39,2008-02-09,0.0,29658.46925,25.608333333333334,24.09166666666667,64.41666666666667,2.3625000000000003
40,2008-02-10,0.0,22652.22064,24.425,23.016666666666666,74.27083333333333,1.6708333333333334
41,2008-02-11,0.0,25413.02,24.241666666666664,22.27916666666667,75.22916666666667,2.3249999999999997
42,2008-02-12,0.0,35085.017,24.895833333333332,23.625,68.3125,2.3000000000000003
43,2008-02-13,0.0,24680.292060000003,24.6375,22.875,72.125,2.1
44,2008-02-14,0.0,18540.769210000002,22.933333333333337,21.850000000000005,79.08333333333333,2.625
45,2008-02-15,0.0,23717.4,23.916666666666668,22.5125,77.04166666666667,1.9083333333333332
46,2008-02-16,0.0,22025.369,23.2625,22.15416666666667,76.75,2.0833333333333335
47,2008-02-17,0.0,9935.05643,21.820833333333336,20.883333333333336,86.25,0.8958333333333334
48,2008-02-18,0.0,17133.13041,22.508333333333336,21.524999999999995,81.91666666666667,1.0916666666666668
49,2008-02-19,0.0,17503.9394,23.8,22.554166666666664,77.33333333333333,1.7791666666666668
50,2008-02-20,0.0,24613.880380000002,24.7375,23.420833333333334,72.35416666666667,2.2916666666666665
51,2008-02-21,0.0,18548.940730000002,23.9875,22.883333333333336,75.58333333333333,1.875
52,2008-02-22,0.0,22927.614,23.01666666666667,21.983333333333334,79.66666666666667,1.6958333333333335
53,2008-02-23,0.0,14344.802959999999,24.670833333333334,23.104166666666668,74.45833333333333,1.8541666666666667
54,2008-02-24,0.0,20123.58782,24.616666666666664,22.7,77.0625,2.025
55,2008-02-25,0.0,13239.24248,23.221739130434784,22.156521739130437,81.30434782608695,2.2043478260869565
56,2008-02-26,0.0,17709.58525,22.829166666666666,21.745833333333334,81.5,3.2374999999999994
