,Data,PREC,RAD,TMAX,TMIN,URMAX,URMIN,U
0,2008-01-01,1.0,1907.936825714286,28.29583333333333,26.6125,60.166666666666664,51.458333333333336,1.3625
1,2008-01-02,0.0,1225.7533007142858,26.07083333333333,24.7375,71.04166666666667,63.291666666666664,2.0208333333333335
2,2008-01-03,0.0,1731.4861471428574,26.808333333333337,25.379166666666666,60.666666666666664,53.875,2.5125
3,2008-01-04,0.0,1823.766142857143,26.46666666666667,25.058333333333334,61.791666666666664,55.416666666666664,1.9208333333333334
4,2008-01-05,1.6,1111.0287292857145,24.55,22.95,77.375,69.70833333333333,2.0541666666666667
5,2008-01-06,46.6,749.5771057142857,21.662499999999998,20.858333333333334,91.875,87.375,1.6208333333333336
6,2008-01-07,21.599999999999998,1306.97293,22.78333333333333,21.52916666666667,82.70833333333333,76.5,1.4458333333333335
7,2008-01-08,1.2,1317.599722857143,23.883333333333336,22.166666666666668,77.54166666666667,68.08333333333333,1.7958333333333332
8,2008-01-09,0.0,1784.7499885714285,24.604166666666668,23.349999999999998,74.20833333333333,67.66666666666667,1.2041666666666666
9,2008-01-10,13.999999999999998,1485.9159285714286,24.3625,22.983333333333334,75.45833333333333,68.375,2.783333333333333
10,2008-01-11,0.0,1604.6495913333333,25.462500000000002,24.291666666666668,74.125,66.91666666666667,2.2291666666666665
11,2008-01-12,0.0,1683.515142857143,25.525000000000002,24.241666666666664,72.625,65.54166666666667,1.991666666666667
12,2008-01-13,24.8,766.5587507142857,22.399999999999995,21.625,90.08333333333333,85.20833333333333,1.0791666666666668
13,2008-01-14,2.8000000000000003,638.3083571428572,22.333333333333332,21.704166666666666,87.58333333333333,82.33333333333333,1.375
14,2008-01-15,2.5999999999999996,1463.8922064285714,22.962500000000002,21.791666666666668,80.375,73.91666666666667,1.9708333333333332
15,2008-01-16,3.2,1816.423357142857,23.337499999999995,21.666666666666668,76.125,67.41666666666667,2.079166666666667
16,2008-01-17,10.399999999999999,1643.4875,23.40833333333333,22.166666666666668,76.875,68.79166666666667,1.8791666666666664
17,2008-01-18,0.0,799.1514199999999,24.995833333333334,23.98333333333333,76.0,69.79166666666667,2.0666666666666664
18,2008-01-19,117.80000000000001,1051.5145714285713,22.995833333333337,21.245833333333334,88.875,81.91666666666667,1.9708333333333332
19,2008-01-20,9.8,838.4586428571429,22.133333333333336,21.27916666666667,90.75,85.95833333333333,1.4916666666666665
20,2008-01-21,23.4,780.6053200000001,21.46666666666667,20.583333333333332,93.66666666666667,90.25,1.25
21,2008-01-22,20.6,732.1264142857144,20.916666666666668,20.070833333333336,93.25,88.66666666666667,1.1833333333333333
22,2008-01-23,0.2,872.4362464285714,22.133333333333336,21.26666666666667,82.375,76.125,1.7083333333333333
23,2008-01-24,0.0,823.4311950000001,23.525000000000002,22.691666666666674,79.5,73.66666666666667,1.375
24,2008-01-25,0.0,1118.1715714285713,22.8875,21.84166666666667,85.5,79.75,1.5250000000000001
25,2008-01-26,1.0,1046.3479385714286,22.76666666666667,21.691666666666663,85.29166666666667,79.33333333333333,1.4625000000000001
26,2008-01-27,0.0,975.272412857143,22.020833333333332,21.104166666666668,81.29166666666667,76.125,1.5708333333333335
27,2008-01-28,1.8000000000000003,967.5603076923078,20.995833333333334,20.09166666666667,86.58333333333333,79.66666666666667,2.0124999999999997
28,2008-01-29,52.2,621.4320907142858,21.058333333333334,20.2,92.16666666666667,86.91666666666667,2.595833333333333
29,2008-01-30,22.4,1009.1947525,22.34166666666667,21.1125,91.25,85.33333333333333,1.7
30,2008-01-31,0.0,1447.9174285714287,23.337500000000002,22.208333333333332,86.95833333333333,80.625,0.9791666666666666
31,2008-02-01,0.0,1306.85641,25.274999999999995,24.020833333333332,78.08333333333333,71.54166666666667,0.9458333333333334
32,2008-02-02,0.0,1395.372892142857,26.370833333333337,25.066666666666666,73.08333333333333,65.625,1.3416666666666668
33,2008-02-03,3.0,718.7156484615385,23.295833333333334,22.520833333333332,85.95833333333333,81.125,2.0791666666666666
34,2008-02-04,13.8,1545.8232857142857,22.9875,21.833333333333332,84.20833333333333,77.08333333333333,1.6416666666666666
35,2008-02-05,2.4,820.5084285714286,21.587499999999995,20.96666666666667,85.5,80.45833333333333,1.8541666666666667
36,2008-02-06,17.0,578.6832707692308,21.350000000000005,20.6125,89.5,84.29166666666667,1.1083333333333334
37,2008-02-07,2.2,1115.470764285714,22.604166666666668,21.495833333333334,86.70833333333333,80.75,2.6958333333333333
38,2008-02-08,1.4,1556.0241346153846,23.349999999999998,22.15833333333333,78.70833333333333,72.16666666666667,1.741666666666667
39,2008-02-09,9.2,1786.4096323076922,24.379166666666663,22.92916666666667,78.58333333333333,70.75,1.2333333333333332
40,2008-02-10,0.0,1125.6141078571427,24.61666666666667,23.554166666666664,79.83333333333333,74.25,1.7208333333333332
41,2008-02-11,0.0,1937.2257369230767,26.245833333333337,24.983333333333334,74.04166666666667,67.08333333333333,1.4791666666666667
42,2008-02-12,11.6,1219.594302142857,26.008333333333336,24.4875,75.75,68.79166666666667,1.7291666666666667
43,2008-02-13,4.800000000000001,859.5831686666668,23.366666666666664,22.245833333333334,84.375,77.29166666666667,1.8041666666666665
44,2008-02-14,10.2,1376.6384813333334,25.399999999999995,24.024999999999995,76.58333333333333,68.29166666666667,1.3708333333333333
45,2008-02-15,26.2,1588.6155414285713,23.79583333333333,22.545833333333334,77.54166666666667,70.04166666666667,1.6416666666666666
46,2008-02-16,0.0,1791.647036923077,25.270833333333332,24.058333333333334,70.54166666666667,62.875,2.0541666666666667
