,Data,PREC,RAD,TMAX,TMIN,URMED,U
0,2008-01-01,1.0,26711.115560000002,28.29583333333333,26.6125,55.8125,1.3625
1,2008-01-02,0.0,17160.54621,26.07083333333333,24.7375,67.16666666666667,2.0208333333333335
2,2008-01-03,0.0,24240.806060000003,26.808333333333337,25.379166666666666,57.270833333333336,2.5125
3,2008-01-04,0.0,25532.726,26.46666666666667,25.058333333333334,58.604166666666664,1.9208333333333334
4,2008-01-05,1.6,15554.40221,24.55,22.95,73.54166666666667,2.0541666666666667
5,2008-01-06,46.6,10494.07948,21.662499999999998,20.858333333333334,89.625,1.6208333333333336
6,2008-01-07,21.599999999999998,19604.59395,22.78333333333333,21.52916666666667,79.60416666666667,1.4458333333333335
7,2008-01-08,1.2,18446.39612,23.883333333333336,22.166666666666668,72.8125,1.7958333333333332
8,2008-01-09,0.0,24986.49984,24.604166666666668,23.349999999999998,70.9375,1.2041666666666666
9,2008-01-10,13.999999999999998,20802.823,24.3625,22.983333333333334,71.91666666666667,2.783333333333333
10,2008-01-11,0.0,24069.743870000002,25.462500000000002,24.291666666666668,70.52083333333333,2.2291666666666665
11,2008-01-12,0.0,23569.212,25.525000000000002,24.241666666666664,69.08333333333333,1.991666666666667
12,2008-01-13,24.8,10731.82251,22.399999999999995,21.625,87.64583333333333,1.0791666666666668
13,2008-01-14,2.8000000000000003,8936.317,22.333333333333332,21.704166666666666,84.95833333333333,1.375
14,2008-01-15,2.5999999999999996,20494.49089,22.962500000000002,21.791666666666668,77.14583333333333,1.9708333333333332
15,2008-01-16,3.2,25429.927,23.337499999999995,21.666666666666668,71.77083333333333,2.079166666666667
16,2008-01-17,10.399999999999999,23008.825,23.40833333333333,22.166666666666668,72.83333333333333,1.8791666666666664
17,2008-01-18,0.0,11188.119879999998,24.995833333333334,23.98333333333333,72.89583333333333,2.0666666666666664
18,2008-01-19,117.80000000000001,14721.204,22.995833333333337,21.245833333333334,85.39583333333333,1.9708333333333332
19,2008-01-20,9.8,11738.421,22.133333333333336,21.27916666666667,88.35416666666667,1.4916666666666665
20,2008-01-21,23.4,10928.47448,21.46666666666667,20.583333333333332,91.95833333333333,1.25
21,2008-01-22,20.6,10249.7698,20.916666666666668,20.070833333333336,90.95833333333333,1.1833333333333333
22,2008-01-23,0.2,12214.10745,22.133333333333336,21.26666666666667,79.25,1.7083333333333333
23,2008-01-24,0.0,11528.03673,23.525000000000002,22.691666666666674,76.58333333333333,1.375
24,2008-01-25,0.0,15654.402,22.8875,21.84166666666667,82.625,1.5250000000000001
25,2008-01-26,1.0,14648.871140000001,22.76666666666667,21.691666666666663,82.3125,1.4625000000000001
26,2008-01-27,0.0,13653.81378,22.020833333333332,21.104166666666668,78.70833333333333,1.5708333333333335
27,2008-01-28,1.8000000000000003,12578.284,20.995833333333334,20.09166666666667,83.125,2.0124999999999997
28,2008-01-29,52.2,8700.04927,21.058333333333334,20.2,89.54166666666667,2.595833333333333
29,2008-01-30,22.4,16147.11604,22.34166666666667,21.1125,88.29166666666667,1.7
30,2008-01-31,0.0,20270.844,23.337500000000002,22.208333333333332,83.79166666666667,0.9791666666666666
31,2008-02-01,0.0,18295.98974,25.274999999999995,24.020833333333332,74.8125,0.9458333333333334
32,2008-02-02,0.0,19535.22049,26.370833333333337,25.066666666666666,69.35416666666667,1.3416666666666668
33,2008-02-03,3.0,9343.30343,23.295833333333334,22.520833333333332,83.54166666666667,2.0791666666666666
34,2008-02-04,13.8,21641.526,22.9875,21.833333333333332,80.64583333333333,1.6416666666666666
35,2008-02-05,2.4,11487.118,21.587499999999995,20.96666666666667,82.97916666666667,1.8541666666666667
36,2008-02-06,17.0,7522.882519999999,21.350000000000005,20.6125,86.89583333333333,1.1083333333333334
37,2008-02-07,2.2,15616.590699999999,22.604166666666668,21.495833333333334,83.72916666666667,2.6958333333333333
38,2008-02-08,1.4,20228.31375,23.349999999999998,22.15833333333333,75.4375,1.741666666666667
39,2008-02-09,9.2,23223.32522,24.379166666666663,22.92916666666667,74.66666666666667,1.2333333333333332
40,2008-02-10,0.0,15758.59751,24.61666666666667,23.554166666666664,77.04166666666667,1.7208333333333332
41,2008-02-11,0.0,25183.934579999997,26.245833333333337,24.983333333333334,70.5625,1.4791666666666667
42,2008-02-12,11.6,17074.32023,26.008333333333336,24.4875,72.27083333333333,1.7291666666666667
43,2008-02-13,4.800000000000001,12893.74753,23.366666666666664,22.245833333333334,80.83333333333333,1.8041666666666665
44,2008-02-14,10.2,20649.57722,25.399999999999995,24.024999999999995,72.4375,1.3708333333333333
45,2008-02-15,26.2,22240.61758,23.79583333333333,22.545833333333334,73.79166666666667,1.6416666666666666
46,2008-02-16,0.0,23291.41148,25.270833333333332,24.058333333333334,66.70833333333333,2.0541666666666667
47,2008-02-17,0.0,16804.757,25.15416666666667,24.21666666666667,71.70833333333333,1.25
48,2008-02-18,0.0,15577.1018,23.84583333333333,22.325,76.64583333333333,1.1208333333333333
49,2008-02-19,19.4,16139.69784,22.129166666666666,20.841666666666665,81.4375,1.2416666666666667
50,2008-02-20,0.2,21354.862259999998,24.229166666666668,23.150000000000002,75.1875,1.5166666666666668
51,2008-02-21,26.4,14519.4854,22.8,21.625,85.025,2.0799999999999996
52,2008-02-22,7.800000000000001,12964.00449,22.558333333333334,21.2375,88.27083333333333,1.4708333333333332
53,2008-02-23,35.39999999999999,11866.696,22.404166666666665,21.541666666666668,89.5625,1.2625
54,2008-02-24,16.8,10240.75034,21.804166666666664,21.245833333333334,89.72916666666667,1.3458333333333334
